time,temperature_2m (\'b0C),relativehumidity_2m (%),pressure_msl (hPa),precipitation (mm),rain (mm),snowfall (cm),weathercode (wmo code)\
2019-08-30T00:00,19.6,74,1014.2,0.00,0.00,0.00,2\
2019-08-30T01:00,18.3,80,1014.7,0.00,0.00,0.00,2\
2019-08-30T02:00,18.0,81,1015.0,0.00,0.00,0.00,2\
2019-08-30T03:00,18.2,81,1015.4,0.00,0.00,0.00,2\
2019-08-30T04:00,17.7,83,1015.7,0.00,0.00,0.00,2\
2019-08-30T05:00,17.1,87,1015.8,0.00,0.00,0.00,2\
2019-08-30T06:00,17.0,88,1016.0,0.00,0.00,0.00,3\
2019-08-30T07:00,17.2,89,1016.3,0.00,0.00,0.00,2\
2019-08-30T08:00,18.1,83,1016.6,0.00,0.00,0.00,2\
2019-08-30T09:00,18.5,80,1016.7,0.00,0.00,0.00,3\
2019-08-30T10:00,20.3,72,1017.1,0.00,0.00,0.00,3\
2019-08-30T11:00,20.8,69,1017.3,0.00,0.00,0.00,3\
2019-08-30T12:00,21.5,67,1017.2,0.00,0.00,0.00,3\
2019-08-30T13:00,22.4,63,1017.1,0.00,0.00,0.00,3\
2019-08-30T14:00,22.0,66,1016.9,0.00,0.00,0.00,3\
2019-08-30T15:00,22.9,58,1016.7,0.00,0.00,0.00,3\
2019-08-30T16:00,22.9,60,1016.4,0.00,0.00,0.00,3\
2019-08-30T17:00,22.8,61,1016.3,0.00,0.00,0.00,3\
2019-08-30T18:00,22.6,60,1015.8,0.00,0.00,0.00,3\
2019-08-30T19:00,21.5,66,1015.7,0.00,0.00,0.00,3\
2019-08-30T20:00,21.1,68,1015.8,0.00,0.00,0.00,3\
2019-08-30T21:00,20.6,72,1015.8,0.00,0.00,0.00,3\
2019-08-30T22:00,19.7,76,1015.9,0.00,0.00,0.00,3\
2019-08-30T23:00,19.6,78,1015.5,0.00,0.00,0.00,3\
2019-08-31T00:00,19.4,79,1015.1,0.00,0.00,0.00,3\
2019-08-31T01:00,18.7,81,1014.7,0.00,0.00,0.00,3\
2019-08-31T02:00,18.3,84,1014.9,0.00,0.00,0.00,2\
2019-08-31T03:00,18.7,75,1014.3,0.00,0.00,0.00,3\
2019-08-31T04:00,18.2,78,1014.4,0.00,0.00,0.00,3\
2019-08-31T05:00,17.8,81,1014.4,0.00,0.00,0.00,2\
2019-08-31T06:00,17.8,81,1014.3,0.00,0.00,0.00,3\
2019-08-31T07:00,17.5,83,1014.3,0.00,0.00,0.00,3\
2019-08-31T08:00,18.4,76,1014.6,0.00,0.00,0.00,2\
2019-08-31T09:00,18.9,77,1014.6,0.00,0.00,0.00,2\
2019-08-31T10:00,21.2,67,1014.6,0.00,0.00,0.00,2\
2019-08-31T11:00,21.5,66,1014.7,0.00,0.00,0.00,2\
2019-08-31T12:00,21.9,64,1014.3,0.10,0.10,0.00,51\
2019-08-31T13:00,23.0,59,1013.9,0.00,0.00,0.00,2\
2019-08-31T14:00,23.8,56,1013.9,0.30,0.30,0.00,51\
2019-08-31T15:00,23.4,57,1013.7,0.00,0.00,0.00,3\
2019-08-31T16:00,23.5,57,1013.4,0.00,0.00,0.00,2\
2019-08-31T17:00,23.7,56,1013.2,0.00,0.00,0.00,2\
2019-08-31T18:00,24.1,54,1013.0,0.00,0.00,0.00,3\
2019-08-31T19:00,22.5,63,1013.0,0.00,0.00,0.00,2\
2019-08-31T20:00,21.0,74,1013.3,0.00,0.00,0.00,1\
2019-08-31T21:00,20.8,74,1013.5,0.00,0.00,0.00,1\
2019-08-31T22:00,20.1,76,1013.8,0.00,0.00,0.00,1\
2019-08-31T23:00,18.9,82,1013.8,0.00,0.00,0.00,1\
2019-09-01T00:00,18.2,84,1013.6,0.00,0.00,0.00,1\
2019-09-01T01:00,17.5,86,1013.7,0.10,0.10,0.00,51\
2019-09-01T02:00,17.0,86,1013.7,0.00,0.00,0.00,2\
2019-09-01T03:00,15.7,92,1013.6,0.00,0.00,0.00,2\
2019-09-01T04:00,15.9,91,1013.7,0.20,0.20,0.00,51\
2019-09-01T05:00,15.7,90,1013.9,0.20,0.20,0.00,51\
2019-09-01T06:00,15.5,90,1013.9,0.00,0.00,0.00,2\
2019-09-01T07:00,15.8,89,1014.2,0.00,0.00,0.00,2\
2019-09-01T08:00,16.8,86,1014.6,0.00,0.00,0.00,2\
2019-09-01T09:00,18.5,80,1014.7,0.00,0.00,0.00,1\
2019-09-01T10:00,20.2,71,1014.9,0.00,0.00,0.00,1\
2019-09-01T11:00,20.9,70,1015.0,0.00,0.00,0.00,1\
2019-09-01T12:00,21.1,71,1015.0,0.00,0.00,0.00,2\
2019-09-01T13:00,23.1,60,1015.0,0.00,0.00,0.00,2\
2019-09-01T14:00,21.9,65,1015.2,0.00,0.00,0.00,3\
2019-09-01T15:00,23.5,58,1015.5,0.00,0.00,0.00,2\
2019-09-01T16:00,22.4,67,1015.5,0.50,0.50,0.00,53\
2019-09-01T17:00,21.0,79,1015.6,4.20,4.20,0.00,63\
2019-09-01T18:00,20.4,82,1015.2,4.00,4.00,0.00,63\
2019-09-01T19:00,19.0,91,1015.3,0.30,0.30,0.00,51\
2019-09-01T20:00,18.4,92,1015.5,0.00,0.00,0.00,1\
2019-09-01T21:00,18.1,89,1015.8,0.00,0.00,0.00,0\
2019-09-01T22:00,16.3,95,1016.3,0.00,0.00,0.00,0\
2019-09-01T23:00,15.9,94,1016.3,0.00,0.00,0.00,0\
2019-09-02T00:00,16.2,90,1016.7,0.00,0.00,0.00,0\
2019-09-02T01:00,15.4,91,1016.5,0.00,0.00,0.00,0\
2019-09-02T02:00,15.5,89,1016.7,0.00,0.00,0.00,0\
2019-09-02T03:00,15.1,88,1017.0,0.00,0.00,0.00,0\
2019-09-02T04:00,15.1,87,1017.1,0.00,0.00,0.00,1\
2019-09-02T05:00,14.9,88,1017.4,0.00,0.00,0.00,1\
2019-09-02T06:00,14.3,89,1017.5,0.00,0.00,0.00,1\
2019-09-02T07:00,14.8,91,1018.3,0.00,0.00,0.00,1\
2019-09-02T08:00,16.2,86,1018.5,0.00,0.00,0.00,1\
